,company,bigram,count,Words,portion
0,State bank of india,credit_report,827,184.7702539,39.47494033
1,Union bank,credit_report,655,188.9832061,37.75216138
2,Federal bank,credit_report,696,196.4583333,39.03533371
3,Yes bank,credit_report,93,312.9569892,9.946524064
4,HDFC bank,credit_report,63,264.4920635,6.231454006
5,Saraswat bank,credit_report,70,277.2142857,8.215962441
6,Axis bank LTD,credit_report,69,200.2753623,13.01886792
7,South Indian bank,credit_report,82,300.9634146,10.11097411
8,ICICI bank,credit_report,89,270.9662921,8.120437956
9,Syndicate bank,credit_report,98,248.0816327,13.86138614
10,State bank of india,credit_card,112,200.8839286,5.346062053
11,Union bank,credit_card,96,207.8541667,5.53314121
12,Federal bank,credit_card,117,235.1794872,6.561974201
13,Yes bank,credit_card,144,303.6875,15.40106952
14,HDFC bank,credit_card,19,349.5789474,1.879327399
15,Saraswat bank,credit_card,92,297.5,10.79812207
16,Axis bank LTD,credit_card,119,243.3781513,22.45283019
17,South Indian bank,credit_card,194,291.814433,23.92108508
18,ICICI bank,credit_card,262,283.3091603,23.90510949
19,Syndicate bank,credit_card,175,272.8685714,24.75247525
20,State bank of india,make_payment,19,369.6842105,0.906921241
21,Union bank,make_payment,20,248.2,1.152737752
22,Federal bank,make_payment,30,405.7333333,1.682557487
23,Yes bank,make_payment,71,505.9859155,7.593582888
24,HDFC bank,make_payment,132,324.2878788,13.05637982
25,Saraswat bank,make_payment,80,364.5,9.389671362
26,Axis bank LTD,make_payment,41,332.7073171,7.735849057
27,South Indian bank,make_payment,51,435.5882353,6.288532676
28,ICICI bank,make_payment,88,348.8977273,8.02919708
29,Syndicate bank,make_payment,51,334.4705882,7.213578501
30,State bank of india,customer_service,29,426.3448276,1.38424821
31,Union bank,customer_service,34,250.7941176,1.959654179
32,Federal bank,customer_service,19,297.7894737,1.065619742
33,Yes bank,customer_service,64,485.46875,6.844919786
34,HDFC bank,customer_service,41,329.7073171,4.055390702
35,Saraswat bank,customer_service,52,463.3076923,6.103286385
36,Axis bank LTD,customer_service,31,320.3870968,5.849056604
37,South Indian bank,customer_service,61,438.2622951,7.521578298
38,ICICI bank,customer_service,99,352.3333333,9.032846715
39,Syndicate bank,customer_service,33,313.969697,4.667609618
40,State bank of india,credit_reporting,204,240.4901961,9.737470167
41,Union bank,credit_reporting,152,267.6513158,8.760806916
42,Federal bank,credit_reporting,176,270.4602273,9.871003926
43,Yes bank,credit_reporting,24,345.9583333,2.56684492
44,HDFC bank,credit_reporting,8,171.375,0.791295747
45,Saraswat bank,credit_reporting,16,319.625,1.877934272
46,Axis bank LTD,credit_reporting,15,189.7333333,2.830188679
47,South Indian bank,credit_reporting,12,283,1.479654747
48,ICICI bank,credit_reporting,19,340.0526316,1.733576642
49,Syndicate bank,credit_reporting,20,242.85,2.828854314
50,State bank of india,call_back,7,446.1428571,0.334128878
51,Union bank,call_back,12,378.4166667,0.691642651
52,Federal bank,call_back,15,383,0.841278744
53,Yes bank,call_back,47,525.6170213,5.026737968
54,HDFC bank,call_back,36,389.6666667,3.560830861
55,Saraswat bank,call_back,44,567.0909091,5.164319249
56,Axis bank LTD,call_back,13,334.3846154,2.452830189
57,South Indian bank,call_back,45,556.8,5.548705302
58,ICICI bank,call_back,33,445.6363636,3.010948905
59,Syndicate bank,call_back,32,429.75,4.526166902
60,State bank of india,phone_call,33,266.969697,1.575178998
61,Union bank,phone_call,22,397.2272727,1.268011527
62,Federal bank,phone_call,15,293.1333333,0.841278744
63,Yes bank,phone_call,49,580.0204082,5.240641711
64,HDFC bank,phone_call,64,348.5625,6.330365974
65,Saraswat bank,phone_call,47,482.8510638,5.516431925
66,Axis bank LTD,phone_call,18,353.0555556,3.396226415
67,South Indian bank,phone_call,42,381.6666667,5.178791615
68,ICICI bank,phone_call,59,399.2033898,5.383211679
69,Syndicate bank,phone_call,20,339.75,2.828854314
70,State bank of india,collection_agency,55,280.0363636,2.625298329
71,Union bank,collection_agency,54,293.8703704,3.112391931
72,Federal bank,collection_agency,49,227.0816327,2.748177229
73,Yes bank,collection_agency,9,376.7777778,0.962566845
74,HDFC bank,collection_agency,17,395.1764706,1.681503462
75,Saraswat bank,collection_agency,1,204,0.117370892
76,Axis bank LTD,collection_agency,12,250.5,2.264150943
77,South Indian bank,collection_agency,5,346.4,0.616522811
78,ICICI bank,collection_agency,18,341.9444444,1.642335766
79,Syndicate bank,collection_agency,5,223.6,0.707213579
80,State bank of india,credit_bureaus,154,234.6818182,7.350835322
81,Union bank,credit_bureaus,124,233.7741935,7.146974063
82,Federal bank,credit_bureaus,124,256.7580645,6.954570948
83,Yes bank,credit_bureaus,22,353.5909091,2.352941176
84,HDFC bank,credit_bureaus,24,303.625,2.37388724
85,Saraswat bank,credit_bureaus,14,328.7142857,1.643192488
86,Axis bank LTD,credit_bureaus,23,240.7826087,4.339622642
87,South Indian bank,credit_bureaus,13,322.7692308,1.602959309
88,ICICI bank,credit_bureaus,26,352.4615385,2.372262774
89,Syndicate bank,credit_bureaus,24,417.5833333,3.394625177
90,State bank of india,credit_score,136,239.5441176,6.491646778
91,Union bank,credit_score,118,195.8220339,6.801152738
92,Federal bank,credit_score,101,268.4455446,5.664610208
93,Yes bank,credit_score,31,336.516129,3.315508021
94,HDFC bank,credit_score,36,271.6944444,3.560830861
95,Saraswat bank,credit_score,23,267.0434783,2.699530516
96,Axis bank LTD,credit_score,30,336.1666667,5.660377358
97,South Indian bank,credit_score,29,250.3793103,3.575832306
98,ICICI bank,credit_score,52,313.5769231,4.744525547
99,Syndicate bank,credit_score,21,440.0952381,2.97029703
100,State bank of india,30_day,97,236.7731959,4.630071599
101,Union bank,30_day,100,237.55,5.763688761
102,Federal bank,30_day,96,251.0625,5.38418396
103,Yes bank,30_day,31,349.5806452,3.315508021
104,HDFC bank,30_day,8,421.5,0.791295747
105,Saraswat bank,30_day,37,395.1621622,4.342723005
106,Axis bank LTD,30_day,16,229.75,3.018867925
107,South Indian bank,30_day,28,351.25,3.452527744
108,ICICI bank,30_day,39,325.7692308,3.558394161
109,Syndicate bank,30_day,30,251.3333333,4.243281471
110,State bank of india,student_loan,45,207.4444444,2.14797136
111,Union bank,student_loan,48,193.75,2.766570605
112,Federal bank,student_loan,41,249.3902439,2.299495233
113,Yes bank,student_loan,1,755,0.106951872
114,HDFC bank,student_loan,273,268.5787546,27.00296736
115,Saraswat bank,student_loan,18,371.4444444,2.112676056
116,Axis bank LTD,student_loan,0,,0
117,South Indian bank,student_loan,5,333.6,0.616522811
118,ICICI bank,student_loan,6,385,0.547445255
119,Syndicate bank,student_loan,1,404,0.141442716
120,State bank of india,report_credit,145,251.1172414,6.92124105
121,Union bank,report_credit,116,249.5775862,6.685878963
122,Federal bank,report_credit,107,239.9626168,6.001121705
123,Yes bank,report_credit,21,345.7619048,2.245989305
124,HDFC bank,report_credit,25,297,2.472799209
125,Saraswat bank,report_credit,21,304.9047619,2.464788732
126,Axis bank LTD,report_credit,11,207.7272727,2.075471698
127,South Indian bank,report_credit,29,316.862069,3.575832306
128,ICICI bank,report_credit,26,391.6923077,2.372262774
129,Syndicate bank,report_credit,27,396.4444444,3.818953324
130,State bank of india,interest_rate,18,459.6666667,0.859188544
131,Union bank,interest_rate,9,317.8888889,0.518731988
132,Federal bank,interest_rate,17,302.4705882,0.953449243
133,Yes bank,interest_rate,47,362.106383,5.026737968
134,HDFC bank,interest_rate,94,301.8297872,9.297725025
135,Saraswat bank,interest_rate,54,378.962963,6.338028169
136,Axis bank LTD,interest_rate,16,370.0625,3.018867925
137,South Indian bank,interest_rate,29,384,3.575832306
138,ICICI bank,interest_rate,26,371.5,2.372262774
139,Syndicate bank,interest_rate,22,501.8636364,3.111739745
140,State bank of india,receive_letter,35,263.1428571,1.670644391
141,Union bank,receive_letter,31,291.9032258,1.786743516
142,Federal bank,receive_letter,29,225.6551724,1.626472238
143,Yes bank,receive_letter,60,519.6333333,6.417112299
144,HDFC bank,receive_letter,14,343.6428571,1.384767557
145,Saraswat bank,receive_letter,44,423.4545455,5.164319249
146,Axis bank LTD,receive_letter,16,354.3125,3.018867925
147,South Indian bank,receive_letter,36,378.6944444,4.438964242
148,ICICI bank,receive_letter,48,408.625,4.379562044
149,Syndicate bank,receive_letter,15,395.4666667,2.121640736
150,State bank of india,loan_modification,3,276.6666667,0.143198091
151,Union bank,loan_modification,3,119.3333333,0.172910663
152,Federal bank,loan_modification,3,213.3333333,0.168255749
153,Yes bank,loan_modification,63,473.984127,6.737967914
154,HDFC bank,loan_modification,3,232,0.296735905
155,Saraswat bank,loan_modification,71,357.6901408,8.333333333
156,Axis bank LTD,loan_modification,0,,0
157,South Indian bank,loan_modification,31,431.2258065,3.82244143
158,ICICI bank,loan_modification,19,459.9473684,1.733576642
159,Syndicate bank,loan_modification,1,243,0.141442716
160,State bank of india,late_payment,52,290.0384615,2.482100239
161,Union bank,late_payment,53,189.6226415,3.054755043
162,Federal bank,late_payment,49,300.3673469,2.748177229
163,Yes bank,late_payment,30,357.7666667,3.20855615
164,HDFC bank,late_payment,33,303.1515152,3.264094955
165,Saraswat bank,late_payment,39,334.4871795,4.577464789
166,Axis bank LTD,late_payment,20,300.4,3.773584906
167,South Indian bank,late_payment,20,388.1,2.466091245
168,ICICI bank,late_payment,36,257.9166667,3.284671533
169,Syndicate bank,late_payment,33,319.3939394,4.667609618
170,State bank of india,late_fee,7,293.2857143,0.334128878
171,Union bank,late_fee,1,247,0.057636888
172,Federal bank,late_fee,4,1058.5,0.224340998
173,Yes bank,late_fee,29,304.0344828,3.101604278
174,HDFC bank,late_fee,31,356.8387097,3.066271019
175,Saraswat bank,late_fee,29,344.3103448,3.403755869
176,Axis bank LTD,late_fee,44,270.8181818,8.301886792
177,South Indian bank,late_fee,23,434.2608696,2.836004932
178,ICICI bank,late_fee,62,262.9677419,5.656934307
179,Syndicate bank,late_fee,39,272.0512821,5.516265912
180,State bank of india,even_though,47,289.4042553,2.243436754
181,Union bank,even_though,20,252.65,1.152737752
182,Federal bank,even_though,35,303.9142857,1.962983735
183,Yes bank,even_though,55,368.7272727,5.882352941
184,HDFC bank,even_though,59,288.2372881,5.835806133
185,Saraswat bank,even_though,54,397.5,6.338028169
186,Axis bank LTD,even_though,22,348.9090909,4.150943396
187,South Indian bank,even_though,40,339.3,4.932182491
188,ICICI bank,even_though,49,370.0204082,4.47080292
189,Syndicate bank,even_though,31,428.3225806,4.384724187
190,State bank of india,would_like,70,164.6714286,3.341288783
191,Union bank,would_like,67,188.6716418,3.86167147
192,Federal bank,would_like,60,232.7833333,3.365114975
193,Yes bank,would_like,44,509.8636364,4.705882353
194,HDFC bank,would_like,31,344.6129032,3.066271019
195,Saraswat bank,would_like,46,453.0652174,5.399061033
196,Axis bank LTD,would_like,14,285.8571429,2.641509434
197,South Indian bank,would_like,36,392.4444444,4.438964242
198,ICICI bank,would_like,40,350.475,3.649635036
199,Syndicate bank,would_like,29,327.4482759,4.101838755
